Country.Name,SDG.Region,UNICEF.Region,UNICEF.Programme.Region,Rate,Year,Deaths
148,204,212,212,11.2703,1990,121
149,203,210,210,43.9257,1990,2387
150,203,210,210,15.2542,1990,4754
151,203,210,211,10.8745,1990,21787
152,201,208,208,41.7198,1990,13538
153,204,212,212,22.0533,1990,12066
154,204,208,212,43.2736,1990,39520
155,201,214,213,40.3843,1990,12772
156,206,213,211,4.0496,1990,237
157,205,213,214,14.7746,1990,182
158,201,214,213,53.1896,1990,10368
159,202,209,209,22.8968,1990,4123
160,203,211,211,6.609,1990,2
161,201,208,208,45.3638,1990,15835
162,203,210,210,17.1338,1990,1656
163,201,208,208,64.0676,1990,16854
164,201,214,213,26.5127,1990,128
165,202,209,209,20.4729,1990,260
166,203,211,211,8.6419,1990,687
167,203,211,211,5.7299,1990,128
168,203,211,211,3.4842,1990,427
169,201,208,208,23.3943,1990,800
170,201,208,211,10.9028,1990,17
171,204,212,212,16.496,1990,7357
172,202,209,209,9.944,1990,3
173,201,214,213,51.7526,1990,15848
174,201,214,213,43.7713,1990,7109
175,206,213,214,20.6555,1990,22475
176,200,210,210,30.7785,1990,7015
177,200,210,210,26.9352,1990,3493
178,206,213,214,57.1593,1990,1825
179,205,213,214,9.8054,1990,30
180,202,209,209,19.2948,1990,505
181,204,212,212,27.5767,1990,6146
182,204,210,210,32.3548,1990,45487
183,205,213,214,28.7089,1990,9
184,201,208,208,40.175,1990,46134
185,201,208,208,40.1986,1990,36300
186,203,210,210,11.7469,1990,7739
187,202,209,209,11.5813,1990,637
188,203,215,211,5.7449,1990,23760
189,200,210,210,31.0753,1990,21746
190,202,209,209,12.2392,1990,33
191,202,209,209,12.7632,1990,7267
192,202,209,209,12.3808,1990,3
193,206,213,214,23.7158,1990,45229
194,205,213,214,16.7677,1990,95
195,205,213,214,12.7839,1990,71
196,204,212,212,43.9905,1990,29780
197,201,208,208,21.9828,1990,27236
198,201,208,208,37.2671,1990,13519
199,201,208,208,23.7311,1990,8347
0,200,207,207,74.8372,1991,41566
1,201,208,208,53.7704,1991,33402
2,202,209,209,9.6871,1991,1
3,203,210,210,12.2787,1991,970
4,203,211,211,5.9357,1991,4
5,204,212,212,7.569,1991,368
6,202,209,209,14.6444,1991,10588
7,204,210,210,22.2874,1991,1850
8,202,209,209,8.5063,1991,10
9,205,213,211,4.4292,1991,1141
10,203,211,211,4.3722,1991,408
11,204,210,210,32.4003,1991,6726
12,201,208,208,39.9224,1991,10332
13,203,211,211,4.3652,1991,547
14,201,214,213,44.2582,1991,10562
15,201,214,213,44.8985,1991,19652
16,200,207,207,63.7902,1991,233444
17,203,210,210,8.3698,1991,816
18,204,212,212,14.4454,1991,203
19,202,209,211,12.299,1991,84
20,203,210,210,10.9638,1991,730
21,203,210,210,9.7352,1991,1345
22,202,209,209,17.7203,1991,117
23,202,209,209,39.8965,1991,10203
24,202,209,209,26.2412,1991,97166
25,202,209,209,10.9806,1991,44
26,206,213,211,5.6293,1991,42
27,200,207,207,41.6222,1991,861
28,201,208,208,18.0732,1991,835
29,201,214,213,51.07,1991,6793
30,203,215,211,4.251,1991,1726
31,203,211,211,3.7535,1991,315
32,202,209,209,7.969,1991,2363
33,206,213,214,29.5695,1991,676668
34,201,214,213,48.0688,1991,27501
35,201,214,213,40.5477,1991,20940
36,201,214,213,41.2023,1991,70483
37,201,214,213,27.9379,1991,2649
38,205,213,214,12.7436,1991,7
39,202,209,209,17.6761,1991,15892
40,201,208,208,48.5347,1991,889
41,201,214,213,19.1067,1991,270
42,202,209,209,8.6567,1991,723
43,202,209,209,6.5301,1991,1125
44,204,211,211,5.9328,1991,88
45,203,211,211,6.8059,1991,876
46,203,211,211,3.5046,1991,2935
47,201,208,212,48.3944,1991,1138
48,202,209,209,10.5782,1991,18
49,203,211,211,4.1724,1991,269
50,202,209,209,23.838,1991,5278
51,204,212,212,24.0051,1991,18843
52,202,209,209,21.6608,1991,6832
53,204,212,212,32.199,1991,60469
54,201,208,208,33.9595,1991,3141
55,203,211,211,4.6244,1991,1826
56,203,211,211,9.762,1991,192
57,201,208,208,59.0638,1991,145404
58,203,211,211,3.7219,1991,243
59,205,213,214,12.563,1991,285
60,203,211,211,3.4,1991,2542
61,205,213,214,23.8,1991,81
62,201,214,213,31.2175,1991,1172
63,203,211,211,4.4061,1991,3476
64,204,210,210,24.8851,1991,2384
65,201,214,213,41.148,1991,25856
66,201,214,213,61.1052,1991,18624
67,201,214,213,48.4984,1991,2380
68,201,214,213,62.9778,1991,2756
69,201,214,213,49.6428,1991,1089
70,203,211,211,6.1535,1991,679
71,202,209,209,11.4507,1991,32
72,202,209,209,27.6728,1991,9994
73,202,209,209,30.8201,1991,666
74,202,209,209,21.0606,1991,4132
75,203,210,210,8.018,1991,430
76,202,209,209,37.6598,1991,9879
77,203,211,211,10.6387,1991,1335
78,206,213,214,30.3298,1991,142522
79,200,207,207,55.9193,1991,1560777
80,203,211,211,4.6087,1991,239
81,200,212,212,24.3704,1991,43618
82,204,212,212,25.8004,1991,18243
83,203,211,211,3.2068,1991,15
84,204,212,211,5.8345,1991,659
85,203,211,211,6.0124,1991,3375
86,202,209,209,18.1675,1991,1131
87,204,212,212,19.2769,1991,2556
88,206,213,211,2.468,1991,3047
89,200,210,210,22.8793,1991,8748
90,201,208,208,27.0905,1991,27585
91,200,210,210,24.4784,1991,3328
92,206,213,214,40.4806,1991,16353
93,205,213,214,34.1513,1991,95
94,202,209,209,18.8435,1991,17
95,206,213,211,6.7071,1991,4846
96,204,212,212,9.7266,1991,233
97,206,213,214,46.3281,1991,8659
98,204,212,212,18.9369,1991,1868
99,201,214,213,59.7194,1991,5111
100,204,212,212,20.5082,1991,2516
101,202,209,209,11.4903,1991,45
102,200,207,207,12.9181,1991,4613
103,201,208,208,40.3172,1991,2502
104,203,211,211,9.3888,1991,545
105,203,211,211,3.947,1991,20
106,203,211,211,9.4273,1991,337
107,204,212,212,36.2689,1991,26417
108,203,211,211,4.0228,1991,1
109,203,210,210,18.7855,1991,1395
110,201,208,208,37.8434,1991,20554
111,200,207,207,38.4315,1991,349
112,202,209,209,21.6511,1991,52312
113,205,213,214,18.1242,1991,35
114,203,210,210,16.3461,1991,550
115,201,214,213,65.1328,1991,27996
116,203,211,211,7.3128,1991,39
117,206,213,214,47.3836,1991,52140
118,203,210,210,10.2802,1991,100
119,206,213,214,29.8148,1991,2099
120,201,208,208,61.8111,1991,38632
121,201,214,213,43.8177,1991,3676
122,202,209,209,10.5115,1991,2
123,201,208,211,13.9858,1991,316
124,201,208,208,49.6547,1991,23135
125,206,213,214,7.2932,1991,3661
126,201,208,208,28.0852,1991,1592
127,201,214,213,54.257,1991,25654
128,201,214,213,49.9599,1991,212879
129,202,209,209,22.328,1991,3440
130,205,213,214,13.9749,1991,1
131,203,211,211,4.5105,1991,893
132,203,211,211,3.7874,1991,230
133,200,207,207,56.3896,1991,42633
134,205,213,214,31.4118,1991,10
135,205,213,211,4.212,1991,249
136,204,212,212,15.9571,1991,1037
137,200,207,207,64.0851,1991,324532
138,202,209,209,16.6216,1991,1091
139,202,209,209,27.0873,1991,18465
140,206,213,214,18.4415,1991,38607
141,205,213,214,18.7134,1991,6
142,205,213,214,32.7993,1991,4729
143,203,211,211,10.7895,1991,5875
144,206,213,214,23.465,1991,10313
145,203,211,211,6.5989,1991,770
146,202,209,209,21.6151,1991,3036
147,204,212,212,21.7297,1991,2204
148,204,212,212,10.5322,1991,109
149,203,210,210,42.0089,1991,2217
150,203,210,210,14.3307,1991,3981
151,203,210,211,10.7646,1991,19496
152,201,208,208,42.932,1991,13869
153,204,212,212,20.8568,1991,11544
154,204,208,212,42.7418,1991,39336
155,201,214,213,40.2574,1991,12896
156,206,213,211,3.5621,1991,182
157,205,213,214,14.4596,1991,182
158,201,214,213,52.9247,1991,10888
159,202,209,209,22.1618,1991,3986
160,203,211,211,5.9974,1991,1
161,201,208,208,44.9251,1991,15560
162,203,210,210,15.6691,1991,1495
163,201,208,208,63.3989,1991,17010
164,201,214,213,26.2298,1991,129
165,202,209,209,20.0244,1991,253
166,203,211,211,8.4141,1991,658
167,203,211,211,5.309,1991,115
168,203,211,211,3.3428,1991,410
169,201,208,208,23.5952,1991,825
170,201,208,211,10.4743,1991,17
171,204,212,212,15.9196,1991,7064
172,202,209,209,9.3796,1991,3
173,201,214,213,50.7131,1991,15794
174,201,214,213,43.2056,1991,7160
175,206,213,214,19.5786,1991,21350
176,200,210,210,30.4787,1991,6923
177,200,210,210,27.5911,1991,3550
178,206,213,214,55.66,1991,1802
179,205,213,214,9.4061,1991,29
180,202,209,209,18.9824,1991,476
181,204,212,212,27.124,1991,5973
182,204,210,210,30.8883,1991,43527
183,205,213,214,28.4995,1991,9
184,201,208,208,39.4223,1991,46128
185,201,208,208,38.9712,1991,36201
186,203,210,210,11.7277,1991,7659
187,202,209,209,11.5117,1991,641
188,203,215,211,5.5668,1991,22797
189,200,210,210,30.9856,1991,22045
190,202,209,209,12.1233,1991,33
191,202,209,209,13.6052,1991,7764
192,202,209,209,11.8329,1991,3
193,206,213,214,23.0854,1991,43846
194,205,213,214,16.0554,1991,93
195,205,213,214,12.3463,1991,68
196,204,212,212,43.1419,1991,29974
197,201,208,208,21.6385,1991,26661
198,201,208,208,36.9833,1991,13758
199,201,208,208,23.0515,1991,8227
0,200,207,207,73.3138,1992,42355
1,201,208,208,53.5906,1992,34013
2,202,209,209,9.2116,1992,1
3,203,210,210,12.2517,1992,946
4,203,211,211,5.5973,1992,4
5,204,212,212,7.2823,1992,362
6,202,209,209,14.5564,1992,10594
7,204,210,210,21.7626,1992,1692
8,202,209,209,8.9456,1992,11
9,205,213,211,4.2237,1992,1111
10,203,211,211,4.1557,1992,395
11,204,210,210,33.8168,1992,6780
12,201,208,208,39.809,1992,10409
13,203,211,211,4.1932,1992,521
14,201,214,213,43.5396,1992,10617
15,201,214,213,44.4939,1992,19857
16,200,207,207,61.4872,1992,221537
17,203,210,210,8.6087,1992,788
18,204,212,212,13.4695,1992,190
19,202,209,211,11.4398,1992,85
20,203,210,210,11.3287,1992,734
21,203,210,210,9.6906,1992,1291
22,202,209,209,16.7906,1992,110
23,202,209,209,38.8918,1992,9974
24,202,209,209,25.4224,1992,92657
25,202,209,209,10.3927,1992,41
26,206,213,211,5.6024,1992,42
27,200,207,207,40.5862,1992,825
